operation_date,document_number,amount,direction,counterparty_name,payment_purpose,rows_count,source_files,source_files_count,min_source_row,max_source_row
2026-01-28,359,3520.0,credit,"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810240000030714 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС50/25-241ПМСК ОТ 31.12.2024 МО ГО МЫТИЩИ Г МЫТИЩИ ЯРОСЛАВСКОЕ Ш СТР 118Б. СУММА 3520-00 В Т.Ч. НДС,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1291,1395
2026-01-28,460,3342.2,credit,"ООО ""ВОСТОРГ 76"" Р/С 40702810130000049931 в ПАО Сбербанк г Москва","ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № 36/ВС ОТ 20.09.2023 ЛЮБЕРЦЫ КАСИМОВСКОЕ Ш 3БСУММА 3342-20В Т.Ч. НДС(10%, 20%, 22%) 303-84",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1329,1433
2026-01-28,505,6081.54,credit,"ООО ""ВОСТОРГ 76"" Р/С 40702810130000044075 в ПАО Сбербанк г Москва","ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № 36/ВС ОТ 20.09.2023 ЛИПЕЦК ЮНОШЕСКАЯ 43СУММА 6081-54В Т.Ч. НДС(10%, 20%, 22%) 552-87",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1326,1430
2026-01-28,564,3963.2,credit,"ООО ""ВОСТОРГ 76"" Р/С 40702810130000042967 в ПАО Сбербанк г Москва","ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № 36/ВС ОТ 20.09.2023 ПОДОЛЬСК ЗАГОРОДНАЯ 1СУММА 3963-20В Т.Ч. НДС(10%, 20%, 22%) 360-29",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1328,1432
2026-01-28,574,7409.4,credit,"ООО ""ВОСТОРГ 76"" Р/С 40702810630000048160 в ПАО Сбербанк г Москва","ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № 36/ВС ОТ 20.09.2023 ЭЛЕКТРОСТАЛЬ ТЕВОСЯНА 25СУММА 7409-40В Т.Ч. НДС(10%, 20%, 22%) 673-58",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1327,1431
2026-01-29,30,-257500.0,debit,"ООО ""РАДУГА Н""",Оплата по счету № 24 от 29.01.2026. за начинку кондитерскую сумма 115000-00. В том числе НДС 22% 20737-70; заменитель молочного жира 142900-00 в т. ч. ндс 10% 12954-55,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1276,1380
2026-01-29,31,-41801.2,debit,"ООО ""АРТКОНДИ""","Оплата по упд № 31 от 31.12.2025 за начинку кондитерскую. В том числе НДС 20%, 6966.87 руб.",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1277,1381
2026-01-29,32,-4866.0,debit,"ООО ""БИЗНЕС-СОФТ""","Оплата по счету № 20 от 28.01.2026. облачная инфраструктура рабочее место 1с бухгалтерия 8.тариф бизнес, облачная инфраструктура рабочее место 1с бухгалтерия 8.тариф бизнес за февраль 2026г. НДС не облагается",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1275,1379
2026-01-29,33,-5000.0,debit,Казначейство России ( ФНС России),Единый налоговый платеж. НДС не облагается,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1278,1382
2026-01-28,208,7403.3,credit,"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810640000066993 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС50/25-241ПМСК ОТ 31.12.2024 МО ГО КОЛОМЕНСКИЙ ГКОЛОМНА УЛ3 ИНТЕРНАЦИОНАЛА Д7/1. СУММА 7403-30В Т.Ч. НДС(10%) 673-03,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1306,1410
2026-01-28,205,15857.54,credit,"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810766000015988 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС71/2026-3 ОТ 08.12.2025 КОЛПНА ДЗЕРЖИНСКОГО 8. СУММА 15857 -54 В Т.Ч. НДС(10%) 1441-59,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1320,1424
2026-01-28,199,3332.8,credit,"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810940000030771 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС50/25-241ПМСК ОТ 31.12.2024 МО ГО ПАВЛОВСКИЙ ПОСАД Д КУЗНЕЦЫ Д 76А. СУММА 3332-80В Т.Ч. НДС(10%) 302-98,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1300,1404
2026-01-28,29,-2000.0,debit,ОСФР ПО ТУЛЬСКОЙ ОБЛАСТИ,"Обязательное социальное страхование от несчастных случаев на производстве за сентябрь-декабрь 2025,. В том числе НДС, %",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1288,1392
2026-01-26,203,11169.0,credit,"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810166000008715 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС71/2026-3 ОТ 08.12.2025 ЩЕКИНО ЭНЕРГЕТИКОВ 15. СУММА 11169 -00 В Т.Ч. НДС(10%) 1015-36,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1346,1450
